tStep	n= 1 l= 0   	n= 2 l= 0   	n= 2 l= 1   	n= 3 l= 0   	n= 3 l= 1   	n= 3 l= 2   	n= 4 l= 0   	n= 4 l= 1   	n= 4 l= 2   	n= 4 l= 3   	n= 5 l= 0   	n= 5 l= 1   	n= 5 l= 2   	n= 5 l= 3   	n= 5 l= 4   	n= 6 l= 0   	n= 6 l= 1   	n= 6 l= 2   	n= 6 l= 3   	n= 6 l= 4   	n= 6 l= 5   	n= 7 l= 0   	n= 7 l= 1   	n= 7 l= 2   	n= 7 l= 3   	n= 7 l= 4   	n= 7 l= 5   	n= 7 l= 6   	n= 8 l= 0   	n= 8 l= 1   	n= 8 l= 2   	n= 8 l= 3   	n= 8 l= 4   	n= 8 l= 5   	n= 8 l= 6   	n= 8 l= 7   	n= 1        	n= 2        	n= 3        	n= 4        	n= 5        	n= 6        	n= 7        	n= 8        	n+          	oInt        	bInt        	tInt 
00000	 0.10000E+01	 0.88976E-19	 0.00000E+00	 0.26363E-19	 0.00000E+00	 0.00000E+00	 0.11122E-19	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.56945E-20	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.32954E-20	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.20753E-20	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.13903E-20	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.10000E+01	 0.88976E-19	 0.26363E-19	 0.11122E-19	 0.56945E-20	 0.32954E-20	 0.20753E-20	 0.13903E-20	 0.34756E-20	 0.10000E+01	-0.16873E-08	 0.10000E+01 
00249	 0.10000E+01	 0.60149E-11	 0.55541E-06	 0.15684E-11	 0.88627E-07	 0.68271E-13	 0.63577E-12	 0.30739E-07	 0.28779E-13	 0.37412E-20	 0.31974E-12	 0.14419E-07	 0.14429E-13	 0.26172E-20	 0.11701E-27	 0.18327E-12	 0.79629E-08	 0.82249E-14	 0.17047E-20	 0.11468E-27	 0.23724E-35	 0.11475E-12	 0.48763E-08	 0.51270E-14	 0.11393E-20	 0.91521E-28	 0.29894E-35	 0.33745E-43	 0.76590E-13	 0.32083E-08	 0.34107E-14	 0.79018E-21	 0.70004E-28	 0.28173E-35	 0.51934E-43	 0.35553E-51	 0.10000E+01	 0.55541E-06	 0.88629E-07	 0.30739E-07	 0.14419E-07	 0.79631E-08	 0.48764E-08	 0.32084E-08	 0.80210E-08	 0.10000E+01	 0.27191E-06	 0.10000E+01 
00499	 0.99999E+00	 0.54675E-10	 0.65549E-05	 0.96635E-11	 0.10301E-05	 0.10142E-10	 0.35399E-11	 0.35515E-06	 0.42689E-11	 0.68541E-17	 0.17073E-11	 0.16611E-06	 0.21388E-11	 0.47936E-17	 0.26318E-23	 0.95772E-12	 0.91591E-07	 0.12187E-11	 0.31219E-17	 0.25791E-23	 0.65437E-30	 0.59216E-12	 0.56034E-07	 0.75946E-12	 0.20863E-17	 0.20582E-23	 0.82454E-30	 0.11409E-36	 0.39207E-12	 0.36844E-07	 0.50515E-12	 0.14469E-17	 0.15742E-23	 0.77704E-30	 0.17558E-36	 0.14729E-43	 0.99999E+00	 0.65550E-05	 0.10301E-05	 0.35516E-06	 0.16612E-06	 0.91594E-07	 0.56036E-07	 0.36845E-07	 0.92112E-07	 0.10000E+01	 0.28685E-05	 0.10000E+01 
00749	 0.99997E+00	 0.31644E-09	 0.16581E-04	 0.47577E-10	 0.25440E-05	 0.71717E-10	 0.16388E-10	 0.86885E-06	 0.30116E-10	 0.13136E-15	 0.76792E-11	 0.40455E-06	 0.15071E-10	 0.91837E-16	 0.13562E-21	 0.42407E-11	 0.22250E-06	 0.85817E-11	 0.59797E-16	 0.13289E-21	 0.90554E-28	 0.25973E-11	 0.13591E-06	 0.53459E-11	 0.39956E-16	 0.10604E-21	 0.11410E-27	 0.42371E-34	 0.17092E-11	 0.89276E-07	 0.35549E-11	 0.27708E-16	 0.81106E-22	 0.10752E-27	 0.65207E-34	 0.14675E-40	 0.99997E+00	 0.16582E-04	 0.25441E-05	 0.86890E-06	 0.40457E-06	 0.22251E-06	 0.13592E-06	 0.89281E-07	 0.22320E-06	 0.99999E+00	 0.62088E-05	 0.10000E+01 
00999	 0.99997E+00	 0.28234E-09	 0.14600E-04	 0.49602E-10	 0.23632E-05	 0.42853E-10	 0.17885E-10	 0.82313E-06	 0.18118E-10	 0.57435E-16	 0.85434E-11	 0.38681E-06	 0.90969E-11	 0.40205E-16	 0.44299E-22	 0.47650E-11	 0.21382E-06	 0.51895E-11	 0.26196E-16	 0.43425E-22	 0.22202E-28	 0.29354E-11	 0.13101E-06	 0.32364E-11	 0.17512E-16	 0.34659E-22	 0.27978E-28	 0.78126E-35	 0.19387E-11	 0.86227E-07	 0.21537E-11	 0.12147E-16	 0.26512E-22	 0.26368E-28	 0.12024E-34	 0.20369E-41	 0.99997E+00	 0.14600E-04	 0.23633E-05	 0.82317E-06	 0.38683E-06	 0.21383E-06	 0.13102E-06	 0.86231E-07	 0.21558E-06	 0.99999E+00	 0.69225E-05	 0.10000E+01 
01249	 0.99992E+00	 0.49582E-09	 0.34209E-04	 0.12448E-09	 0.70146E-05	 0.11444E-09	 0.49534E-10	 0.26167E-05	 0.57802E-10	 0.82907E-16	 0.24683E-10	 0.12666E-05	 0.31386E-10	 0.66052E-16	 0.19425E-22	 0.14075E-10	 0.71107E-06	 0.18663E-10	 0.46102E-16	 0.20987E-22	 0.18535E-29	 0.87849E-11	 0.43970E-06	 0.11930E-10	 0.32108E-16	 0.17751E-22	 0.25205E-29	 0.84030E-37	 0.58513E-11	 0.29110E-06	 0.80662E-11	 0.22867E-16	 0.14095E-22	 0.24947E-29	 0.13751E-36	 0.20497E-44	 0.99992E+00	 0.34209E-04	 0.70149E-05	 0.26169E-05	 0.12666E-05	 0.71110E-06	 0.43972E-06	 0.29112E-06	 0.72779E-06	 0.99997E+00	 0.29899E-04	 0.10000E+01 
01499	 0.99952E+00	 0.43141E-07	 0.25628E-03	 0.87554E-08	 0.45528E-04	 0.94889E-08	 0.32936E-08	 0.16268E-04	 0.44225E-08	 0.80992E-13	 0.16025E-08	 0.77262E-05	 0.23218E-08	 0.59992E-13	 0.32210E-18	 0.90244E-09	 0.42940E-05	 0.13567E-08	 0.40356E-13	 0.31579E-18	 0.15822E-23	 0.55913E-09	 0.26393E-05	 0.85841E-09	 0.27511E-13	 0.25221E-18	 0.19793E-23	 0.61807E-29	 0.37066E-09	 0.17406E-05	 0.57658E-09	 0.19330E-13	 0.19306E-18	 0.18562E-23	 0.95160E-29	 0.15317E-34	 0.99952E+00	 0.25632E-03	 0.45547E-04	 0.16276E-04	 0.77301E-05	 0.42962E-05	 0.26407E-05	 0.17415E-05	 0.43538E-05	 0.99986E+00	 0.13864E-03	 0.10000E+01 
01749	 0.99842E+00	 0.81349E-06	 0.93946E-03	 0.14329E-06	 0.15345E-03	 0.17939E-06	 0.51547E-07	 0.53252E-04	 0.80262E-07	 0.96418E-11	 0.24585E-07	 0.24951E-04	 0.41365E-07	 0.69409E-11	 0.28897E-15	 0.13699E-07	 0.13765E-04	 0.23933E-07	 0.45960E-11	 0.28248E-15	 0.78537E-20	 0.84335E-08	 0.84235E-05	 0.15053E-07	 0.31032E-11	 0.22510E-15	 0.98652E-20	 0.15393E-24	 0.55678E-08	 0.55392E-05	 0.10072E-07	 0.21669E-11	 0.17203E-15	 0.92772E-20	 0.23701E-24	 0.20683E-29	 0.99842E+00	 0.94027E-03	 0.15377E-03	 0.53384E-04	 0.25017E-04	 0.13803E-04	 0.84470E-05	 0.55549E-05	 0.13887E-04	 0.99962E+00	 0.36581E-03	 0.10000E+01 
01999	 0.99673E+00	 0.52792E-05	 0.20781E-02	 0.86786E-06	 0.31858E-03	 0.11554E-05	 0.30434E-06	 0.10791E-03	 0.50784E-06	 0.18692E-09	 0.14343E-06	 0.49975E-04	 0.25948E-06	 0.13404E-09	 0.15931E-13	 0.79400E-07	 0.27395E-04	 0.14941E-06	 0.88547E-10	 0.15594E-13	 0.11631E-17	 0.48690E-07	 0.16699E-04	 0.93702E-07	 0.59701E-10	 0.12437E-13	 0.14613E-17	 0.62369E-22	 0.32063E-07	 0.10953E-04	 0.62578E-07	 0.41646E-10	 0.95095E-14	 0.13743E-17	 0.96038E-22	 0.22956E-26	 0.99673E+00	 0.20834E-02	 0.32060E-03	 0.10872E-03	 0.50378E-04	 0.27624E-04	 0.16841E-04	 0.11048E-04	 0.27620E-04	 0.99935E+00	 0.62161E-03	 0.10000E+01 
02249	 0.99531E+00	 0.15830E-04	 0.31425E-02	 0.25008E-05	 0.45437E-03	 0.34087E-05	 0.86296E-06	 0.15031E-03	 0.14824E-05	 0.10577E-08	 0.40354E-06	 0.68818E-04	 0.75330E-06	 0.75903E-09	 0.16007E-12	 0.22243E-06	 0.37485E-04	 0.43242E-06	 0.50160E-09	 0.15697E-12	 0.20447E-16	 0.13604E-06	 0.22760E-04	 0.27067E-06	 0.33824E-09	 0.12534E-12	 0.25679E-16	 0.19881E-20	 0.89431E-07	 0.14891E-04	 0.18054E-06	 0.23597E-09	 0.95914E-13	 0.24146E-16	 0.30616E-20	 0.13146E-24	 0.99531E+00	 0.31583E-02	 0.46028E-03	 0.15265E-03	 0.69976E-04	 0.38140E-04	 0.23167E-04	 0.15161E-04	 0.37902E-04	 0.99922E+00	 0.73833E-03	 0.10000E+01 
