tStep	n= 1 l= 0   	n= 2 l= 0   	n= 2 l= 1   	n= 3 l= 0   	n= 3 l= 1   	n= 3 l= 2   	n= 4 l= 0   	n= 4 l= 1   	n= 4 l= 2   	n= 4 l= 3   	n= 5 l= 0   	n= 5 l= 1   	n= 5 l= 2   	n= 5 l= 3   	n= 5 l= 4   	n= 6 l= 0   	n= 6 l= 1   	n= 6 l= 2   	n= 6 l= 3   	n= 6 l= 4   	n= 6 l= 5   	n= 7 l= 0   	n= 7 l= 1   	n= 7 l= 2   	n= 7 l= 3   	n= 7 l= 4   	n= 7 l= 5   	n= 7 l= 6   	n= 8 l= 0   	n= 8 l= 1   	n= 8 l= 2   	n= 8 l= 3   	n= 8 l= 4   	n= 8 l= 5   	n= 8 l= 6   	n= 8 l= 7   	n= 1        	n= 2        	n= 3        	n= 4        	n= 5        	n= 6        	n= 7        	n= 8        	n+          	oInt        	bInt        	tInt 
00000	 0.10000E+01	 0.88976E-19	 0.00000E+00	 0.26363E-19	 0.00000E+00	 0.00000E+00	 0.11122E-19	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.56945E-20	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.32954E-20	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.20753E-20	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.13903E-20	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.10000E+01	 0.88976E-19	 0.26363E-19	 0.11122E-19	 0.56945E-20	 0.32954E-20	 0.20753E-20	 0.13903E-20	 0.34756E-20	 0.10000E+01	-0.16873E-08	 0.10000E+01 
00249	 0.10000E+01	 0.59779E-11	 0.48788E-06	 0.15653E-11	 0.77852E-07	 0.52678E-13	 0.63498E-12	 0.27001E-07	 0.22206E-13	 0.25357E-20	 0.31944E-12	 0.12666E-07	 0.11134E-13	 0.17739E-20	 0.69666E-28	 0.18312E-12	 0.69947E-08	 0.63464E-14	 0.11554E-20	 0.68277E-28	 0.12407E-35	 0.11467E-12	 0.42834E-08	 0.39560E-14	 0.77221E-21	 0.54489E-28	 0.15634E-35	 0.15502E-43	 0.76540E-13	 0.28183E-08	 0.26317E-14	 0.53557E-21	 0.41678E-28	 0.14734E-35	 0.23858E-43	 0.14347E-51	 0.10000E+01	 0.48788E-06	 0.77853E-07	 0.27002E-07	 0.12666E-07	 0.69949E-08	 0.42836E-08	 0.28183E-08	 0.70459E-08	 0.10000E+01	 0.23866E-06	 0.10000E+01 
00499	 0.99999E+00	 0.48901E-10	 0.60237E-05	 0.88992E-11	 0.94668E-06	 0.85629E-11	 0.32905E-11	 0.32639E-06	 0.36043E-11	 0.53174E-17	 0.15934E-11	 0.15266E-06	 0.18058E-11	 0.37189E-17	 0.18760E-23	 0.89577E-12	 0.84175E-07	 0.10289E-11	 0.24219E-17	 0.18385E-23	 0.42861E-30	 0.55456E-12	 0.51497E-07	 0.64122E-12	 0.16185E-17	 0.14672E-23	 0.54007E-30	 0.68665E-37	 0.36748E-12	 0.33861E-07	 0.42650E-12	 0.11225E-17	 0.11222E-23	 0.50896E-30	 0.10567E-36	 0.81452E-44	 0.99999E+00	 0.60237E-05	 0.94670E-06	 0.32640E-06	 0.15267E-06	 0.84177E-07	 0.51499E-07	 0.33862E-07	 0.84655E-07	 0.10000E+01	 0.26371E-05	 0.10000E+01 
00749	 0.99997E+00	 0.32792E-09	 0.17036E-04	 0.48658E-10	 0.26108E-05	 0.76061E-10	 0.16679E-10	 0.89126E-06	 0.31935E-10	 0.14364E-15	 0.77982E-11	 0.41489E-06	 0.15980E-10	 0.10042E-15	 0.15282E-21	 0.43012E-11	 0.22816E-06	 0.90989E-11	 0.65388E-16	 0.14974E-21	 0.10514E-27	 0.26324E-11	 0.13936E-06	 0.56680E-11	 0.43691E-16	 0.11949E-21	 0.13247E-27	 0.50688E-34	 0.17315E-11	 0.91535E-07	 0.37690E-11	 0.30298E-16	 0.91388E-22	 0.12483E-27	 0.78007E-34	 0.18089E-40	 0.99997E+00	 0.17037E-04	 0.26109E-05	 0.89131E-06	 0.41491E-06	 0.22817E-06	 0.13937E-06	 0.91541E-07	 0.22885E-06	 0.99999E+00	 0.63366E-05	 0.10000E+01 
00999	 0.99997E+00	 0.46350E-09	 0.18632E-04	 0.73996E-10	 0.28697E-05	 0.88700E-10	 0.25921E-10	 0.98139E-06	 0.37262E-10	 0.18009E-15	 0.12229E-10	 0.45722E-06	 0.18651E-10	 0.12592E-15	 0.20628E-21	 0.67762E-11	 0.25155E-06	 0.10621E-10	 0.81994E-16	 0.20213E-21	 0.15286E-27	 0.41584E-11	 0.15369E-06	 0.66169E-11	 0.54790E-16	 0.16130E-21	 0.19260E-27	 0.79394E-34	 0.27398E-11	 0.10097E-06	 0.44002E-11	 0.37995E-16	 0.12337E-21	 0.18150E-27	 0.12218E-33	 0.30527E-40	 0.99997E+00	 0.18633E-04	 0.28698E-05	 0.98145E-06	 0.45725E-06	 0.25157E-06	 0.15370E-06	 0.10097E-06	 0.25243E-06	 0.99999E+00	 0.70320E-05	 0.10000E+01 
01249	 0.99995E+00	 0.21177E-09	 0.22447E-04	 0.48590E-10	 0.45748E-05	 0.37437E-10	 0.18767E-10	 0.17035E-05	 0.18819E-10	 0.11491E-16	 0.92259E-11	 0.82391E-06	 0.10198E-10	 0.91306E-17	 0.97902E-24	 0.52225E-11	 0.46236E-06	 0.60575E-11	 0.63639E-17	 0.10584E-23	 0.27652E-31	 0.32454E-11	 0.28583E-06	 0.38698E-11	 0.44283E-17	 0.89551E-24	 0.37822E-31	 0.27145E-39	 0.21555E-11	 0.18921E-06	 0.26154E-11	 0.31522E-17	 0.71123E-24	 0.37573E-31	 0.45069E-39	 0.14129E-47	 0.99995E+00	 0.22448E-04	 0.45749E-05	 0.17036E-05	 0.82393E-06	 0.46237E-06	 0.28584E-06	 0.18921E-06	 0.47303E-06	 0.99998E+00	 0.19136E-04	 0.10000E+01 
01499	 0.99970E+00	 0.14178E-07	 0.15333E-03	 0.31588E-08	 0.28407E-04	 0.30220E-08	 0.12161E-08	 0.10270E-04	 0.14594E-08	 0.11742E-13	 0.59730E-09	 0.49017E-05	 0.77766E-09	 0.91193E-14	 0.10459E-19	 0.33801E-09	 0.27312E-05	 0.45791E-09	 0.62863E-14	 0.10914E-19	 0.78339E-26	 0.21002E-09	 0.16813E-05	 0.29103E-09	 0.43473E-14	 0.90633E-20	 0.94887E-26	 0.20673E-31	 0.13948E-09	 0.11099E-05	 0.19604E-09	 0.30825E-14	 0.71187E-20	 0.87082E-26	 0.31689E-31	 0.22952E-37	 0.99970E+00	 0.15335E-03	 0.28414E-04	 0.10273E-04	 0.49030E-05	 0.27320E-05	 0.16818E-05	 0.11102E-05	 0.27756E-05	 0.99991E+00	 0.91708E-04	 0.10000E+01 
01749	 0.99889E+00	 0.36113E-06	 0.64898E-03	 0.67499E-07	 0.10864E-03	 0.77903E-07	 0.24687E-07	 0.37980E-04	 0.35542E-07	 0.23287E-11	 0.11857E-07	 0.17853E-04	 0.18475E-07	 0.17067E-11	 0.33313E-16	 0.66309E-08	 0.98660E-05	 0.10738E-07	 0.11413E-11	 0.32639E-16	 0.52022E-21	 0.40910E-08	 0.60434E-05	 0.67718E-08	 0.77528E-12	 0.26054E-16	 0.65122E-21	 0.64016E-26	 0.27046E-08	 0.39767E-05	 0.45389E-08	 0.54347E-12	 0.19936E-16	 0.61099E-21	 0.98545E-26	 0.50823E-31	 0.99889E+00	 0.64934E-03	 0.10878E-03	 0.38041E-04	 0.17883E-04	 0.98834E-05	 0.60542E-05	 0.39839E-05	 0.99598E-05	 0.99972E+00	 0.26908E-03	 0.10000E+01 
01999	 0.99739E+00	 0.30881E-05	 0.16415E-02	 0.52548E-06	 0.25583E-03	 0.67127E-06	 0.18611E-06	 0.87105E-04	 0.29843E-06	 0.74820E-10	 0.88076E-07	 0.40436E-04	 0.15326E-06	 0.54161E-10	 0.40885E-14	 0.48862E-07	 0.22194E-04	 0.88489E-07	 0.35969E-10	 0.40057E-14	 0.21061E-18	 0.30001E-07	 0.13538E-04	 0.55583E-07	 0.24330E-10	 0.31971E-14	 0.26405E-18	 0.83881E-23	 0.19772E-07	 0.88843E-05	 0.37159E-07	 0.17008E-10	 0.24459E-14	 0.24799E-18	 0.12913E-22	 0.22182E-27	 0.99739E+00	 0.16446E-02	 0.25702E-03	 0.87590E-04	 0.40677E-04	 0.22331E-04	 0.13624E-04	 0.89412E-05	 0.22353E-04	 0.99946E+00	 0.51401E-03	 0.10000E+01 
02249	 0.99571E+00	 0.12375E-04	 0.28550E-02	 0.19882E-05	 0.41725E-03	 0.26747E-05	 0.68882E-06	 0.13851E-03	 0.11711E-05	 0.69230E-09	 0.32259E-06	 0.63514E-04	 0.59690E-06	 0.50027E-09	 0.81893E-13	 0.17793E-06	 0.34624E-04	 0.34318E-06	 0.33186E-09	 0.80430E-13	 0.86639E-17	 0.10887E-06	 0.21034E-04	 0.21500E-06	 0.22430E-09	 0.64291E-13	 0.10860E-16	 0.73960E-21	 0.71586E-07	 0.13766E-04	 0.14349E-06	 0.15672E-09	 0.49234E-13	 0.10198E-16	 0.11386E-20	 0.41812E-25	 0.99571E+00	 0.28674E-02	 0.42192E-03	 0.14037E-03	 0.64434E-04	 0.35146E-04	 0.21358E-04	 0.13981E-04	 0.34952E-04	 0.99927E+00	 0.69434E-03	 0.10000E+01 
02499	 0.99472E+00	 0.26762E-04	 0.36672E-02	 0.41520E-05	 0.50460E-03	 0.57021E-05	 0.14181E-05	 0.16342E-03	 0.24709E-05	 0.24032E-08	 0.65957E-06	 0.74039E-04	 0.12527E-05	 0.17381E-08	 0.42840E-12	 0.36242E-06	 0.40091E-04	 0.71803E-06	 0.11533E-08	 0.42199E-12	 0.66024E-16	 0.22123E-06	 0.24255E-04	 0.44901E-06	 0.77961E-09	 0.33795E-12	 0.82708E-16	 0.87023E-20	 0.14525E-06	 0.15831E-04	 0.29930E-06	 0.54474E-09	 0.25912E-12	 0.77637E-16	 0.13395E-19	 0.75458E-24	 0.99472E+00	 0.36939E-02	 0.51445E-03	 0.16731E-03	 0.75953E-04	 0.41173E-04	 0.24926E-04	 0.16276E-04	 0.40690E-04	 0.99925E+00	 0.70674E-03	 0.10000E+01 
02749	 0.99459E+00	 0.31773E-04	 0.38063E-02	 0.48894E-05	 0.51267E-03	 0.67189E-05	 0.16643E-05	 0.16457E-03	 0.29028E-05	 0.31738E-08	 0.77278E-06	 0.74238E-04	 0.14694E-05	 0.22963E-08	 0.61817E-12	 0.42424E-06	 0.40101E-04	 0.84149E-06	 0.15240E-08	 0.60955E-12	 0.10299E-15	 0.25882E-06	 0.24225E-04	 0.52593E-06	 0.10303E-08	 0.48846E-12	 0.12898E-15	 0.14990E-19	 0.16987E-06	 0.15796E-04	 0.35044E-06	 0.71996E-09	 0.37469E-12	 0.12105E-15	 0.23070E-19	 0.14322E-23	 0.99459E+00	 0.38380E-02	 0.52428E-03	 0.16914E-03	 0.76483E-04	 0.41369E-04	 0.25010E-04	 0.16317E-04	 0.40793E-04	 0.99928E+00	 0.67648E-03	 0.10000E+01 
02999	 0.99360E+00	 0.16150E-04	 0.42614E-02	 0.25138E-05	 0.63909E-03	 0.41522E-05	 0.86243E-06	 0.21283E-03	 0.18338E-05	 0.12258E-08	 0.40221E-06	 0.97631E-04	 0.93855E-06	 0.88373E-09	 0.18306E-12	 0.22137E-06	 0.53216E-04	 0.54084E-06	 0.58545E-09	 0.17982E-12	 0.23517E-16	 0.13527E-06	 0.32321E-04	 0.33931E-06	 0.39538E-09	 0.14373E-12	 0.29539E-16	 0.23456E-20	 0.88877E-07	 0.21150E-04	 0.22666E-06	 0.27610E-09	 0.11006E-12	 0.27776E-16	 0.36126E-20	 0.15895E-24	 0.99360E+00	 0.42775E-02	 0.64576E-03	 0.21553E-03	 0.98973E-04	 0.53979E-04	 0.32796E-04	 0.21465E-04	 0.53664E-04	 0.99894E+00	 0.10045E-02	 0.10000E+01 
03249	 0.98837E+00	 0.38980E-05	 0.74044E-02	 0.10684E-05	 0.12257E-02	 0.50534E-05	 0.43425E-06	 0.41739E-03	 0.24485E-05	 0.46746E-09	 0.21806E-06	 0.19308E-03	 0.13034E-05	 0.36525E-09	 0.93209E-14	 0.12480E-06	 0.10567E-03	 0.76660E-06	 0.25236E-09	 0.98844E-14	 0.87907E-19	 0.78047E-07	 0.64326E-04	 0.48677E-06	 0.17470E-09	 0.82739E-14	 0.11111E-18	 0.33096E-23	 0.52047E-07	 0.42152E-04	 0.32767E-06	 0.12394E-09	 0.65282E-14	 0.10501E-18	 0.50754E-23	 0.83737E-28	 0.98837E+00	 0.74083E-02	 0.12318E-02	 0.42028E-03	 0.19460E-03	 0.10656E-03	 0.64891E-04	 0.42532E-04	 0.10633E-03	 0.99784E+00	 0.20533E-02	 0.10000E+01 
