tStep	n= 1 l= 0   	n= 2 l= 0   	n= 2 l= 1   	n= 3 l= 0   	n= 3 l= 1   	n= 3 l= 2   	n= 4 l= 0   	n= 4 l= 1   	n= 4 l= 2   	n= 4 l= 3   	n= 5 l= 0   	n= 5 l= 1   	n= 5 l= 2   	n= 5 l= 3   	n= 5 l= 4   	n= 6 l= 0   	n= 6 l= 1   	n= 6 l= 2   	n= 6 l= 3   	n= 6 l= 4   	n= 6 l= 5   	n= 7 l= 0   	n= 7 l= 1   	n= 7 l= 2   	n= 7 l= 3   	n= 7 l= 4   	n= 7 l= 5   	n= 7 l= 6   	n= 8 l= 0   	n= 8 l= 1   	n= 8 l= 2   	n= 8 l= 3   	n= 8 l= 4   	n= 8 l= 5   	n= 8 l= 6   	n= 8 l= 7   	n= 1        	n= 2        	n= 3        	n= 4        	n= 5        	n= 6        	n= 7        	n= 8        	n+          	oInt        	bInt        	tInt 
00000	 0.10000E+01	 0.88976E-19	 0.00000E+00	 0.26363E-19	 0.00000E+00	 0.00000E+00	 0.11122E-19	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.56945E-20	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.32954E-20	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.20753E-20	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.13903E-20	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.10000E+01	 0.88976E-19	 0.26363E-19	 0.11122E-19	 0.56945E-20	 0.32954E-20	 0.20753E-20	 0.13903E-20	 0.34756E-20	 0.10000E+01	-0.16873E-08	 0.10000E+01 
00249	 0.10000E+01	 0.59357E-11	 0.11204E-07	 0.15730E-11	 0.17906E-08	 0.27601E-16	 0.63946E-12	 0.62140E-09	 0.11636E-16	 0.30378E-25	 0.32193E-12	 0.29157E-09	 0.58347E-17	 0.21252E-25	 0.19091E-34	 0.18461E-12	 0.16105E-09	 0.33260E-17	 0.13842E-25	 0.18711E-34	 0.77789E-44	 0.11563E-12	 0.98630E-10	 0.20733E-17	 0.92515E-26	 0.14932E-34	 0.98022E-44	 0.22241E-53	 0.77188E-13	 0.64898E-10	 0.13793E-17	 0.64164E-26	 0.11421E-34	 0.92376E-44	 0.34228E-53	 0.47106E-63	 0.10000E+01	 0.11210E-07	 0.17921E-08	 0.62204E-09	 0.29189E-09	 0.16123E-09	 0.98746E-10	 0.64975E-10	 0.16244E-09	 0.10000E+01	 0.39415E-08	 0.10000E+01 
00499	 0.10000E+01	 0.21827E-10	 0.44716E-06	 0.56630E-11	 0.70683E-07	 0.46052E-13	 0.22832E-11	 0.24425E-07	 0.19395E-13	 0.20881E-20	 0.11449E-11	 0.11437E-07	 0.97196E-14	 0.14605E-20	 0.53882E-28	 0.65514E-12	 0.63099E-08	 0.55389E-14	 0.95122E-21	 0.52805E-28	 0.90068E-36	 0.40977E-12	 0.38617E-08	 0.34521E-14	 0.63570E-21	 0.42140E-28	 0.11349E-35	 0.10559E-43	 0.27331E-12	 0.25398E-08	 0.22963E-14	 0.44088E-21	 0.32232E-28	 0.10695E-35	 0.16250E-43	 0.91668E-52	 0.10000E+01	 0.44718E-06	 0.70689E-07	 0.24427E-07	 0.11438E-07	 0.63105E-08	 0.38621E-08	 0.25401E-08	 0.63502E-08	 0.10000E+01	 0.20293E-06	 0.10000E+01 
00749	 0.10000E+01	 0.44372E-10	 0.19238E-05	 0.10834E-10	 0.29822E-06	 0.92481E-12	 0.42857E-11	 0.10227E-06	 0.38870E-12	 0.19092E-18	 0.21303E-11	 0.47711E-07	 0.19461E-12	 0.13349E-18	 0.22282E-25	 0.12132E-11	 0.26269E-07	 0.11084E-12	 0.86928E-19	 0.21834E-25	 0.16827E-32	 0.75664E-12	 0.16057E-07	 0.69059E-13	 0.58088E-19	 0.17423E-25	 0.21202E-32	 0.89075E-40	 0.50372E-12	 0.10552E-07	 0.45926E-13	 0.40283E-19	 0.13326E-25	 0.19980E-32	 0.13708E-39	 0.34908E-47	 0.10000E+01	 0.19238E-05	 0.29823E-06	 0.10227E-06	 0.47713E-07	 0.26270E-07	 0.16058E-07	 0.10553E-07	 0.26381E-07	 0.10000E+01	 0.76869E-06	 0.10000E+01 
00999	 0.10000E+01	 0.77278E-10	 0.14306E-05	 0.17931E-10	 0.24451E-06	 0.31084E-12	 0.69288E-11	 0.86840E-07	 0.13277E-12	 0.32645E-19	 0.34044E-11	 0.41179E-07	 0.66999E-13	 0.22891E-19	 0.20412E-26	 0.19262E-11	 0.22875E-07	 0.38327E-13	 0.14929E-19	 0.20019E-26	 0.83518E-34	 0.11965E-11	 0.14057E-07	 0.23943E-13	 0.99858E-20	 0.15983E-26	 0.10527E-33	 0.24054E-41	 0.79450E-12	 0.92701E-08	 0.15951E-13	 0.69293E-20	 0.12228E-26	 0.99222E-34	 0.37023E-41	 0.51388E-49	 0.10000E+01	 0.14306E-05	 0.24453E-06	 0.86847E-07	 0.41183E-07	 0.22877E-07	 0.14059E-07	 0.92709E-08	 0.23177E-07	 0.10000E+01	 0.88506E-06	 0.10000E+01 
01249	 0.99997E+00	 0.68932E-11	 0.13008E-04	 0.44073E-11	 0.24266E-05	 0.19200E-10	 0.20942E-11	 0.88435E-06	 0.89739E-11	 0.69999E-17	 0.11169E-11	 0.42404E-06	 0.47205E-11	 0.51210E-17	 0.15187E-23	 0.65876E-12	 0.23693E-06	 0.27619E-11	 0.34219E-17	 0.14843E-23	 0.35357E-30	 0.41922E-12	 0.14610E-06	 0.17489E-11	 0.23235E-17	 0.11828E-23	 0.44414E-30	 0.58609E-37	 0.28266E-12	 0.96559E-07	 0.11754E-11	 0.16284E-17	 0.90390E-24	 0.41768E-30	 0.90257E-37	 0.66294E-44	 0.99997E+00	 0.13008E-04	 0.24267E-05	 0.88436E-06	 0.42405E-06	 0.23693E-06	 0.14610E-06	 0.96560E-07	 0.24140E-06	 0.99999E+00	 0.98900E-05	 0.10000E+01 
01499	 0.99974E+00	 0.13431E-07	 0.14299E-03	 0.21284E-08	 0.23748E-04	 0.37890E-08	 0.74887E-09	 0.83303E-05	 0.16507E-08	 0.37243E-13	 0.35445E-09	 0.39260E-05	 0.84090E-09	 0.26231E-13	 0.23152E-18	 0.19682E-09	 0.21734E-05	 0.48355E-09	 0.17154E-13	 0.22660E-18	 0.10163E-23	 0.12095E-09	 0.13328E-05	 0.30304E-09	 0.11494E-13	 0.18068E-18	 0.12803E-23	 0.30875E-29	 0.79761E-10	 0.87768E-06	 0.20230E-09	 0.79849E-14	 0.13813E-18	 0.12063E-23	 0.47527E-29	 0.68634E-35	 0.99974E+00	 0.14301E-03	 0.23754E-04	 0.83327E-05	 0.39272E-05	 0.21740E-05	 0.13332E-05	 0.87796E-06	 0.21949E-05	 0.99993E+00	 0.69527E-04	 0.10000E+01 
01749	 0.99899E+00	 0.35448E-06	 0.60658E-03	 0.53668E-07	 0.95422E-04	 0.86589E-07	 0.18442E-07	 0.32804E-04	 0.37172E-07	 0.46271E-11	 0.86242E-08	 0.15314E-04	 0.18799E-07	 0.32531E-11	 0.14710E-15	 0.47560E-08	 0.84332E-05	 0.10767E-07	 0.21251E-11	 0.14402E-15	 0.32381E-20	 0.29102E-08	 0.51552E-05	 0.67310E-08	 0.14229E-11	 0.11486E-15	 0.40792E-20	 0.49584E-25	 0.19139E-08	 0.33879E-05	 0.44862E-08	 0.98808E-12	 0.87816E-16	 0.38434E-20	 0.76328E-25	 0.55523E-30	 0.99899E+00	 0.60693E-03	 0.95562E-04	 0.32860E-04	 0.15341E-04	 0.84488E-05	 0.51649E-05	 0.33943E-05	 0.84857E-05	 0.99976E+00	 0.22974E-03	 0.10000E+01 
01999	 0.99766E+00	 0.27456E-05	 0.14890E-02	 0.40379E-06	 0.22364E-03	 0.64094E-06	 0.13684E-06	 0.75486E-04	 0.27301E-06	 0.10043E-09	 0.63542E-07	 0.34929E-04	 0.13752E-06	 0.70654E-10	 0.89118E-14	 0.34903E-07	 0.19141E-04	 0.78581E-07	 0.46169E-10	 0.87288E-14	 0.54817E-18	 0.21305E-07	 0.11666E-04	 0.49056E-07	 0.30919E-10	 0.69634E-14	 0.69059E-18	 0.23605E-22	 0.13988E-07	 0.76519E-05	 0.32665E-07	 0.21473E-10	 0.53249E-14	 0.65070E-18	 0.36344E-22	 0.74017E-27	 0.99766E+00	 0.14918E-02	 0.22468E-03	 0.75896E-04	 0.35130E-04	 0.19255E-04	 0.11737E-04	 0.76986E-05	 0.19246E-04	 0.99953E+00	 0.45426E-03	 0.10000E+01 
02249	 0.99638E+00	 0.92078E-05	 0.24122E-02	 0.13258E-05	 0.34529E-03	 0.20792E-05	 0.44475E-06	 0.11428E-03	 0.88010E-06	 0.62689E-09	 0.20545E-06	 0.52378E-04	 0.44186E-06	 0.44159E-09	 0.10195E-12	 0.11252E-06	 0.28552E-04	 0.25200E-06	 0.28875E-09	 0.99923E-13	 0.11533E-16	 0.68558E-07	 0.17345E-04	 0.15713E-06	 0.19345E-09	 0.79748E-13	 0.14530E-16	 0.92196E-21	 0.44960E-07	 0.11352E-04	 0.10455E-06	 0.13438E-09	 0.61000E-13	 0.13692E-16	 0.14199E-20	 0.53395E-25	 0.99638E+00	 0.24214E-02	 0.34870E-03	 0.11561E-03	 0.53026E-04	 0.28916E-04	 0.17571E-04	 0.11502E-04	 0.28755E-04	 0.99938E+00	 0.59234E-03	 0.10000E+01 
