tStep  	n= 1 l= 0   	n= 2 l= 0   	n= 2 l= 1   	n= 3 l= 0   	n= 3 l= 1   	n= 3 l= 2   	n= 4 l= 0   	n= 4 l= 1   	n= 4 l= 2   	n= 4 l= 3   	n= 5 l= 0   	n= 5 l= 1   	n= 5 l= 2   	n= 5 l= 3   	n= 5 l= 4   	n= 6 l= 0   	n= 6 l= 1   	n= 6 l= 2   	n= 6 l= 3   	n= 6 l= 4   	n= 6 l= 5   	n= 7 l= 0   	n= 7 l= 1   	n= 7 l= 2   	n= 7 l= 3   	n= 7 l= 4   	n= 7 l= 5   	n= 7 l= 6   	n= 8 l= 0   	n= 8 l= 1   	n= 8 l= 2   	n= 8 l= 3   	n= 8 l= 4   	n= 8 l= 5   	n= 8 l= 6   	n= 8 l= 7   	n= 1        	n= 2        	n= 3        	n= 4        	n= 5        	n= 6        	n= 7        	n= 8        	n+          	oInt        	bInt        	tInt 
0000000	 0.10000E+01	 0.88976E-19	 0.00000E+00	 0.26363E-19	 0.00000E+00	 0.00000E+00	 0.11122E-19	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.56945E-20	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.32954E-20	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.20753E-20	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.13903E-20	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.10000E+01	 0.88976E-19	 0.26363E-19	 0.11122E-19	 0.56945E-20	 0.32954E-20	 0.20753E-20	 0.13903E-20	 0.34756E-20	 0.10000E+01	-0.16873E-08	 0.10000E+01 
0000249	 0.10000E+01	 0.59412E-11	 0.16116E-11	 0.15743E-11	 0.25782E-12	 0.56863E-24	 0.63993E-12	 0.89510E-13	 0.23976E-24	 0.89767E-37	 0.32216E-12	 0.42007E-13	 0.12023E-24	 0.62801E-37	 0.80945E-50	 0.18475E-12	 0.23205E-13	 0.68535E-25	 0.40906E-37	 0.79333E-50	 0.47334E-63	 0.11571E-12	 0.14212E-13	 0.42723E-25	 0.27339E-37	 0.63313E-50	 0.59645E-63	 0.19425E-76	 0.77242E-13	 0.93520E-14	 0.28422E-25	 0.18962E-37	 0.48427E-50	 0.56210E-63	 0.29896E-76	 0.59071E-90	 0.10000E+01	 0.75528E-11	 0.18321E-11	 0.72944E-12	 0.36417E-12	 0.20795E-12	 0.12992E-12	 0.86594E-13	 0.21649E-12	 0.10000E+01	-0.16533E-08	 0.10000E+01 
0000499	 0.10000E+01	 0.22436E-10	 0.35576E-09	 0.58111E-11	 0.56499E-10	 0.28582E-19	 0.23412E-11	 0.19559E-10	 0.12042E-19	 0.10173E-29	 0.11736E-11	 0.91667E-11	 0.60364E-20	 0.71163E-30	 0.20636E-40	 0.67140E-12	 0.50599E-11	 0.34404E-20	 0.46350E-30	 0.20224E-40	 0.27125E-51	 0.41989E-12	 0.30976E-11	 0.21444E-20	 0.30976E-30	 0.16139E-40	 0.34179E-51	 0.25010E-62	 0.28004E-12	 0.20377E-11	 0.14265E-20	 0.21483E-30	 0.12345E-40	 0.32210E-51	 0.38490E-62	 0.17078E-73	 0.10000E+01	 0.37820E-09	 0.62311E-10	 0.21901E-10	 0.10340E-10	 0.57313E-11	 0.35175E-11	 0.23177E-11	 0.57943E-11	 0.10000E+01	-0.14487E-08	 0.10000E+01 
0000749	 0.10000E+01	 0.45893E-10	 0.70655E-08	 0.11429E-10	 0.11078E-08	 0.11896E-16	 0.45337E-11	 0.38161E-09	 0.50052E-17	 0.87352E-26	 0.22555E-11	 0.17842E-09	 0.25072E-17	 0.61090E-26	 0.36377E-35	 0.12850E-11	 0.98353E-10	 0.14284E-17	 0.39784E-26	 0.35649E-35	 0.98093E-45	 0.80161E-12	 0.60163E-10	 0.89011E-18	 0.26587E-26	 0.28448E-35	 0.12360E-44	 0.18547E-54	 0.53372E-12	 0.39555E-10	 0.59202E-18	 0.18438E-26	 0.21759E-35	 0.11648E-44	 0.28544E-54	 0.25967E-64	 0.10000E+01	 0.71114E-08	 0.11193E-08	 0.38614E-09	 0.18067E-09	 0.99638E-10	 0.60964E-10	 0.40089E-10	 0.10022E-09	 0.10000E+01	 0.14651E-08	 0.10000E+01 
0000999	 0.10000E+01	 0.70964E-10	 0.48462E-07	 0.16680E-10	 0.74530E-08	 0.60638E-15	 0.64639E-11	 0.25481E-08	 0.25452E-15	 0.32395E-23	 0.31795E-11	 0.11870E-08	 0.12734E-15	 0.22649E-23	 0.97275E-32	 0.18000E-11	 0.65305E-09	 0.72502E-16	 0.14748E-23	 0.95319E-32	 0.18892E-40	 0.11185E-11	 0.39898E-09	 0.45162E-16	 0.98545E-24	 0.76061E-32	 0.23804E-40	 0.25721E-49	 0.74282E-12	 0.26211E-09	 0.30029E-16	 0.68337E-24	 0.58174E-32	 0.22432E-40	 0.39583E-49	 0.25922E-58	 0.10000E+01	 0.48533E-07	 0.74697E-08	 0.25545E-08	 0.11902E-08	 0.65485E-09	 0.40010E-09	 0.26285E-09	 0.65714E-09	 0.10000E+01	 0.17093E-07	 0.10000E+01 
0001249	 0.10000E+01	 0.91384E-10	 0.17152E-06	 0.19819E-10	 0.25661E-07	 0.84988E-14	 0.74283E-11	 0.86794E-08	 0.35540E-14	 0.17508E-21	 0.35942E-11	 0.40225E-08	 0.17749E-14	 0.12236E-21	 0.19971E-29	 0.20161E-11	 0.22066E-08	 0.10095E-14	 0.79660E-22	 0.19567E-29	 0.14707E-37	 0.12457E-11	 0.13458E-08	 0.62839E-15	 0.53222E-22	 0.15613E-29	 0.18530E-37	 0.75924E-46	 0.82425E-12	 0.88313E-09	 0.41766E-15	 0.36905E-22	 0.11941E-29	 0.17461E-37	 0.11684E-45	 0.29005E-54	 0.10000E+01	 0.17162E-06	 0.25681E-07	 0.86868E-08	 0.40260E-08	 0.22087E-08	 0.13471E-08	 0.88395E-09	 0.22099E-08	 0.10000E+01	 0.55374E-07	 0.10000E+01 
0001499	 0.10000E+01	 0.10234E-09	 0.36358E-06	 0.19845E-10	 0.52396E-07	 0.44318E-13	 0.70879E-11	 0.17463E-07	 0.18437E-13	 0.21727E-20	 0.33475E-11	 0.80360E-08	 0.91836E-14	 0.15178E-20	 0.57722E-28	 0.18521E-11	 0.43911E-08	 0.52156E-14	 0.98782E-21	 0.56552E-28	 0.98716E-36	 0.11348E-11	 0.26717E-08	 0.32438E-14	 0.65987E-21	 0.45122E-28	 0.12437E-35	 0.11840E-43	 0.74667E-12	 0.17504E-08	 0.21547E-14	 0.45751E-21	 0.34508E-28	 0.11719E-35	 0.18219E-43	 0.10506E-51	 0.10000E+01	 0.36369E-06	 0.52416E-07	 0.17470E-07	 0.80394E-08	 0.43930E-08	 0.26728E-08	 0.17512E-08	 0.43780E-08	 0.10000E+01	 0.98558E-07	 0.10000E+01 
0001749	 0.10000E+01	 0.10393E-09	 0.48336E-06	 0.17193E-10	 0.67101E-07	 0.90666E-13	 0.57125E-11	 0.22034E-07	 0.37538E-13	 0.66058E-20	 0.25989E-11	 0.10067E-07	 0.18653E-13	 0.46126E-20	 0.25570E-27	 0.14074E-11	 0.54789E-08	 0.10580E-13	 0.30012E-20	 0.25050E-27	 0.63515E-35	 0.85084E-12	 0.33254E-08	 0.65745E-14	 0.20045E-20	 0.19986E-27	 0.80013E-35	 0.11071E-42	 0.55491E-12	 0.21753E-08	 0.43648E-14	 0.13897E-20	 0.15285E-27	 0.75392E-35	 0.17036E-42	 0.14275E-50	 0.10000E+01	 0.48347E-06	 0.67118E-07	 0.22040E-07	 0.10070E-07	 0.54803E-08	 0.33263E-08	 0.21758E-08	 0.54396E-08	 0.10000E+01	 0.10974E-06	 0.10000E+01 
0001999	 0.10000E+01	 0.99365E-10	 0.47119E-06	 0.13125E-10	 0.70544E-07	 0.59180E-13	 0.38990E-11	 0.23810E-07	 0.24786E-13	 0.31701E-20	 0.16692E-11	 0.11019E-07	 0.12386E-13	 0.22172E-20	 0.94097E-28	 0.87200E-12	 0.60390E-08	 0.70470E-14	 0.14440E-20	 0.92223E-28	 0.18064E-35	 0.51528E-12	 0.36809E-08	 0.43877E-14	 0.96497E-21	 0.73599E-28	 0.22761E-35	 0.24355E-43	 0.33096E-12	 0.24144E-08	 0.29166E-14	 0.66923E-21	 0.56295E-28	 0.21449E-35	 0.37482E-43	 0.24316E-51	 0.10000E+01	 0.47129E-06	 0.70558E-07	 0.23814E-07	 0.11020E-07	 0.60399E-08	 0.36815E-08	 0.24148E-08	 0.60369E-08	 0.10000E+01	 0.14150E-06	 0.10000E+01 
0002249	 0.10000E+01	 0.84465E-10	 0.91539E-06	 0.80465E-11	 0.16823E-06	 0.78438E-13	 0.19726E-11	 0.60166E-07	 0.38317E-13	 0.12030E-20	 0.75258E-12	 0.28539E-07	 0.20478E-13	 0.94541E-21	 0.49102E-29	 0.36569E-12	 0.15844E-07	 0.12071E-13	 0.65493E-21	 0.52820E-29	 0.62679E-38	 0.20603E-12	 0.97310E-08	 0.76754E-14	 0.45405E-21	 0.44554E-29	 0.85587E-38	 0.24019E-47	 0.12806E-12	 0.64140E-08	 0.51715E-14	 0.32242E-21	 0.35315E-29	 0.84929E-38	 0.40041E-47	 0.45734E-57	 0.10000E+01	 0.91548E-06	 0.16824E-06	 0.60168E-07	 0.28540E-07	 0.15845E-07	 0.97312E-08	 0.64141E-08	 0.16035E-07	 0.10000E+01	 0.45081E-06	 0.10000E+01 
