tStep	n= 1 l= 0   	n= 2 l= 0   	n= 2 l= 1   	n= 3 l= 0   	n= 3 l= 1   	n= 3 l= 2   	n= 4 l= 0   	n= 4 l= 1   	n= 4 l= 2   	n= 4 l= 3   	n= 5 l= 0   	n= 5 l= 1   	n= 5 l= 2   	n= 5 l= 3   	n= 5 l= 4   	n= 6 l= 0   	n= 6 l= 1   	n= 6 l= 2   	n= 6 l= 3   	n= 6 l= 4   	n= 6 l= 5   	n= 7 l= 0   	n= 7 l= 1   	n= 7 l= 2   	n= 7 l= 3   	n= 7 l= 4   	n= 7 l= 5   	n= 7 l= 6   	n= 8 l= 0   	n= 8 l= 1   	n= 8 l= 2   	n= 8 l= 3   	n= 8 l= 4   	n= 8 l= 5   	n= 8 l= 6   	n= 8 l= 7   	n= 1        	n= 2        	n= 3        	n= 4        	n= 5        	n= 6        	n= 7        	n= 8        	n+          	oInt        	bInt        	tInt 
00000	 0.10000E+01	 0.88976E-19	 0.00000E+00	 0.26363E-19	 0.00000E+00	 0.00000E+00	 0.11122E-19	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.56945E-20	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.32954E-20	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.20753E-20	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.13903E-20	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.10000E+01	 0.88976E-19	 0.26363E-19	 0.11122E-19	 0.56945E-20	 0.32954E-20	 0.20753E-20	 0.13903E-20	 0.34756E-20	 0.10000E+01	-0.16873E-08	 0.10000E+01 
00249	 0.10000E+01	 0.11058E-10	 0.26845E-05	 0.21943E-11	 0.42835E-06	 0.15953E-11	 0.83398E-12	 0.14856E-06	 0.67249E-12	 0.42262E-18	 0.40879E-12	 0.69687E-07	 0.33718E-12	 0.29565E-18	 0.63898E-25	 0.23129E-12	 0.38484E-07	 0.19220E-12	 0.19257E-18	 0.62624E-25	 0.62626E-32	 0.14374E-12	 0.23567E-07	 0.11980E-12	 0.12870E-18	 0.49978E-25	 0.78914E-32	 0.43062E-39	 0.95483E-13	 0.15506E-07	 0.79699E-13	 0.89262E-19	 0.38227E-25	 0.74369E-32	 0.66272E-39	 0.21931E-46	 0.10000E+01	 0.26845E-05	 0.42835E-06	 0.14856E-06	 0.69687E-07	 0.38485E-07	 0.23567E-07	 0.15506E-07	 0.38765E-07	 0.10000E+01	 0.13200E-05	 0.10000E+01 
00499	 0.99995E+00	 0.83445E-09	 0.30372E-04	 0.11437E-09	 0.47721E-05	 0.21801E-09	 0.37911E-10	 0.16451E-05	 0.91766E-10	 0.68328E-15	 0.17437E-10	 0.76943E-06	 0.45977E-10	 0.47788E-15	 0.12166E-20	 0.95303E-11	 0.42423E-06	 0.26197E-10	 0.31122E-15	 0.11923E-20	 0.14027E-26	 0.58005E-11	 0.25953E-06	 0.16326E-10	 0.20798E-15	 0.95144E-21	 0.17674E-26	 0.11340E-32	 0.38014E-11	 0.17065E-06	 0.10859E-10	 0.14424E-15	 0.72772E-21	 0.16656E-26	 0.17452E-32	 0.67883E-39	 0.99995E+00	 0.30373E-04	 0.47724E-05	 0.16452E-05	 0.76949E-06	 0.42427E-06	 0.25956E-06	 0.17066E-06	 0.42666E-06	 0.99999E+00	 0.13272E-04	 0.10000E+01 
00749	 0.99987E+00	 0.67751E-08	 0.80314E-04	 0.93082E-09	 0.12303E-04	 0.16949E-08	 0.30847E-09	 0.41991E-05	 0.71167E-09	 0.15115E-13	 0.14182E-09	 0.19545E-05	 0.35613E-09	 0.10568E-13	 0.75930E-19	 0.77495E-10	 0.10748E-05	 0.20278E-09	 0.68808E-14	 0.74404E-19	 0.24665E-24	 0.47158E-10	 0.65645E-06	 0.12632E-09	 0.45977E-14	 0.59372E-19	 0.31078E-24	 0.56146E-30	 0.30901E-10	 0.43117E-06	 0.83995E-10	 0.31884E-14	 0.45409E-19	 0.29287E-24	 0.86407E-30	 0.94603E-36	 0.99987E+00	 0.80320E-04	 0.12306E-04	 0.42001E-05	 0.19550E-05	 0.10751E-05	 0.65663E-06	 0.43129E-06	 0.10782E-05	 0.99997E+00	 0.29775E-04	 0.10000E+01 
00999	 0.99986E+00	 0.81241E-08	 0.87338E-04	 0.11394E-08	 0.13429E-04	 0.19655E-08	 0.38059E-09	 0.45893E-05	 0.82564E-09	 0.18811E-13	 0.17565E-09	 0.21374E-05	 0.41324E-09	 0.13153E-13	 0.10152E-18	 0.96178E-10	 0.11757E-05	 0.23533E-09	 0.85647E-14	 0.99484E-19	 0.35442E-24	 0.58600E-10	 0.71825E-06	 0.14660E-09	 0.57231E-14	 0.79387E-19	 0.44658E-24	 0.86720E-30	 0.38430E-10	 0.47182E-06	 0.97489E-10	 0.39689E-14	 0.60718E-19	 0.42085E-24	 0.13346E-29	 0.15707E-35	 0.99986E+00	 0.87346E-04	 0.13432E-04	 0.45905E-05	 0.21380E-05	 0.11761E-05	 0.71845E-06	 0.47196E-06	 0.11799E-05	 0.99997E+00	 0.32641E-04	 0.10000E+01 
01249	 0.99979E+00	 0.15284E-08	 0.96151E-04	 0.39787E-09	 0.19156E-04	 0.62495E-09	 0.16023E-09	 0.70894E-05	 0.30947E-09	 0.65792E-15	 0.80270E-10	 0.34198E-05	 0.16667E-09	 0.51646E-15	 0.15416E-21	 0.45902E-10	 0.19165E-05	 0.98697E-10	 0.35783E-15	 0.16376E-21	 0.16713E-28	 0.28698E-10	 0.11838E-05	 0.62937E-10	 0.24815E-15	 0.13724E-21	 0.21016E-28	 0.79228E-35	 0.19135E-10	 0.78322E-06	 0.42486E-10	 0.17626E-15	 0.10838E-21	 0.19795E-28	 0.12133E-34	 0.23869E-41	 0.99979E+00	 0.96153E-04	 0.19157E-04	 0.70898E-05	 0.34200E-05	 0.19166E-05	 0.11839E-05	 0.78328E-06	 0.19582E-05	 0.99992E+00	 0.76558E-04	 0.10000E+01 
01499	 0.99903E+00	 0.16484E-06	 0.49354E-03	 0.37570E-07	 0.93596E-04	 0.30213E-07	 0.14509E-07	 0.34030E-04	 0.14866E-07	 0.36843E-12	 0.71333E-08	 0.16279E-04	 0.79813E-08	 0.29184E-12	 0.10413E-17	 0.40383E-08	 0.90814E-05	 0.47176E-08	 0.20312E-12	 0.11397E-17	 0.30874E-24	 0.25096E-08	 0.55941E-05	 0.30050E-08	 0.14123E-12	 0.97149E-18	 0.45629E-24	 0.93337E-30	 0.16669E-08	 0.36944E-05	 0.20270E-08	 0.10049E-12	 0.77536E-18	 0.47638E-24	 0.13902E-29	 0.55185E-35	 0.99903E+00	 0.49370E-03	 0.93663E-04	 0.34060E-04	 0.16294E-04	 0.90901E-05	 0.55996E-05	 0.36981E-05	 0.92452E-05	 0.99969E+00	 0.30560E-03	 0.10000E+01 
01749	 0.99677E+00	 0.30148E-05	 0.18583E-02	 0.59632E-06	 0.31748E-03	 0.60594E-06	 0.22117E-06	 0.11155E-03	 0.28250E-06	 0.43100E-10	 0.10683E-06	 0.52538E-04	 0.14821E-06	 0.32417E-10	 0.10530E-14	 0.59917E-07	 0.29063E-04	 0.86550E-07	 0.21980E-10	 0.10465E-14	 0.33490E-19	 0.37029E-07	 0.17812E-04	 0.54737E-07	 0.15053E-10	 0.84330E-15	 0.41579E-19	 0.11419E-23	 0.24506E-07	 0.11725E-04	 0.36755E-07	 0.10608E-10	 0.64947E-15	 0.38796E-19	 0.17566E-23	 0.22120E-28	 0.99677E+00	 0.18613E-02	 0.31868E-03	 0.11205E-03	 0.52793E-04	 0.29210E-04	 0.17904E-04	 0.11786E-04	 0.29466E-04	 0.99918E+00	 0.79369E-03	 0.10000E+01 
01999	 0.99310E+00	 0.21349E-04	 0.42847E-02	 0.38390E-05	 0.67918E-03	 0.44344E-05	 0.13801E-05	 0.23210E-03	 0.20090E-05	 0.11089E-08	 0.65728E-06	 0.10789E-03	 0.10401E-05	 0.81811E-09	 0.11243E-12	 0.36583E-06	 0.59255E-04	 0.60310E-06	 0.54895E-09	 0.11086E-12	 0.12550E-16	 0.22505E-06	 0.36158E-04	 0.37978E-06	 0.37361E-09	 0.88859E-13	 0.15671E-16	 0.12612E-20	 0.14850E-06	 0.23734E-04	 0.25430E-06	 0.26222E-09	 0.68181E-13	 0.14678E-16	 0.19416E-20	 0.78103E-25	 0.99310E+00	 0.43060E-02	 0.68745E-03	 0.23549E-03	 0.10959E-03	 0.60224E-04	 0.36763E-04	 0.24137E-04	 0.60342E-04	 0.99856E+00	 0.13817E-02	 0.10000E+01 
02249	 0.98947E+00	 0.74251E-04	 0.68699E-02	 0.12591E-04	 0.10212E-02	 0.15419E-04	 0.44284E-05	 0.34010E-03	 0.68734E-05	 0.85866E-08	 0.20873E-05	 0.15614E-03	 0.35303E-05	 0.63127E-08	 0.18548E-11	 0.11552E-05	 0.85161E-04	 0.20378E-05	 0.42267E-08	 0.18351E-11	 0.40029E-15	 0.70823E-06	 0.51748E-04	 0.12797E-05	 0.28727E-08	 0.14739E-11	 0.50014E-15	 0.81698E-19	 0.46629E-06	 0.33873E-04	 0.85536E-06	 0.20144E-08	 0.11323E-11	 0.46864E-15	 0.12580E-18	 0.10337E-22	 0.98947E+00	 0.69442E-02	 0.10492E-02	 0.35141E-03	 0.16176E-03	 0.88359E-04	 0.53739E-04	 0.35197E-04	 0.87993E-04	 0.99815E+00	 0.17575E-02	 0.10000E+01 
02499	 0.98765E+00	 0.14565E-03	 0.83333E-02	 0.23873E-04	 0.11701E-02	 0.29814E-04	 0.82828E-05	 0.38063E-03	 0.13155E-04	 0.26169E-07	 0.38785E-05	 0.17274E-03	 0.67205E-05	 0.19250E-07	 0.82675E-11	 0.21388E-05	 0.93612E-04	 0.38676E-05	 0.12890E-07	 0.82200E-11	 0.24267E-14	 0.13083E-05	 0.56660E-04	 0.24243E-05	 0.87606E-08	 0.66221E-11	 0.30307E-14	 0.73792E-18	 0.86015E-06	 0.36993E-04	 0.16184E-05	 0.61427E-08	 0.50979E-11	 0.28391E-14	 0.11361E-17	 0.13843E-21	 0.98765E+00	 0.84789E-02	 0.12238E-02	 0.40209E-03	 0.18336E-03	 0.99631E-04	 0.60401E-04	 0.39478E-04	 0.98694E-04	 0.99814E+00	 0.17629E-02	 0.10000E+01 
02749	 0.98748E+00	 0.16853E-03	 0.85329E-02	 0.27414E-04	 0.11753E-02	 0.34248E-04	 0.94815E-05	 0.37928E-03	 0.15069E-04	 0.33378E-07	 0.44331E-05	 0.17145E-03	 0.76871E-05	 0.24563E-07	 0.11418E-10	 0.24425E-05	 0.92713E-04	 0.44201E-05	 0.16450E-07	 0.11371E-10	 0.35454E-14	 0.14934E-05	 0.56041E-04	 0.27691E-05	 0.11181E-07	 0.91701E-11	 0.44268E-14	 0.11797E-17	 0.98147E-06	 0.36557E-04	 0.18480E-05	 0.78401E-08	 0.70641E-11	 0.41461E-14	 0.18162E-17	 0.24173E-21	 0.98748E+00	 0.87014E-02	 0.12369E-02	 0.40386E-03	 0.18360E-03	 0.99592E-04	 0.60315E-04	 0.39394E-04	 0.98485E-04	 0.99820E+00	 0.17005E-02	 0.10000E+01 
02999	 0.98561E+00	 0.99302E-04	 0.95188E-02	 0.16350E-04	 0.14259E-02	 0.23210E-04	 0.56938E-05	 0.47338E-03	 0.10391E-04	 0.15184E-07	 0.26719E-05	 0.21673E-03	 0.53475E-05	 0.11130E-07	 0.42256E-11	 0.14753E-05	 0.11800E-03	 0.30902E-05	 0.74396E-08	 0.41769E-11	 0.11338E-14	 0.90320E-06	 0.71616E-04	 0.19419E-05	 0.50513E-08	 0.33524E-11	 0.14205E-14	 0.27081E-18	 0.59412E-06	 0.46839E-04	 0.12985E-05	 0.35397E-08	 0.25742E-11	 0.13334E-14	 0.41729E-18	 0.41335E-22	 0.98561E+00	 0.96181E-02	 0.14655E-02	 0.48948E-03	 0.22476E-03	 0.12257E-03	 0.74466E-04	 0.48736E-04	 0.12184E-03	 0.99765E+00	 0.22278E-02	 0.10000E+01 
03249	 0.97717E+00	 0.11181E-04	 0.14880E-01	 0.27352E-05	 0.24097E-02	 0.19542E-04	 0.11267E-05	 0.81222E-03	 0.94525E-05	 0.33139E-08	 0.57230E-06	 0.37370E-03	 0.50333E-05	 0.25167E-08	 0.27522E-12	 0.32992E-06	 0.20389E-03	 0.29616E-05	 0.17145E-08	 0.27465E-12	 0.30997E-16	 0.20730E-06	 0.12387E-03	 0.18811E-05	 0.11774E-08	 0.22167E-12	 0.39151E-16	 0.28765E-20	 0.13868E-06	 0.81068E-04	 0.12666E-05	 0.83117E-09	 0.17083E-12	 0.36952E-16	 0.44380E-20	 0.19062E-24	 0.97717E+00	 0.14891E-01	 0.24320E-02	 0.82280E-03	 0.37931E-03	 0.20718E-03	 0.12596E-03	 0.82474E-04	 0.20619E-03	 0.99611E+00	 0.36791E-02	 0.10000E+01 
03499	 0.96024E+00	 0.24892E-03	 0.26304E-01	 0.53071E-04	 0.40480E-02	 0.11189E-03	 0.19604E-04	 0.13285E-02	 0.53526E-04	 0.86776E-07	 0.94068E-05	 0.60286E-03	 0.28252E-04	 0.68025E-07	 0.19771E-10	 0.52504E-05	 0.32634E-03	 0.16529E-04	 0.47036E-07	 0.21199E-10	 0.17650E-14	 0.32340E-05	 0.19731E-03	 0.10460E-04	 0.32566E-07	 0.17846E-10	 0.23866E-14	 0.73895E-19	 0.21354E-05	 0.12872E-03	 0.70249E-05	 0.23104E-07	 0.14127E-10	 0.23536E-14	 0.12030E-18	 0.16387E-23	 0.96024E+00	 0.26553E-01	 0.42130E-02	 0.14017E-02	 0.64059E-03	 0.34816E-03	 0.21104E-03	 0.13790E-03	 0.34475E-03	 0.99375E+00	 0.59082E-02	 0.10000E+01 
03749	 0.93942E+00	 0.15221E-02	 0.39347E-01	 0.28355E-03	 0.54208E-02	 0.47523E-03	 0.99302E-04	 0.17131E-02	 0.22004E-03	 0.12371E-05	 0.46427E-04	 0.76457E-03	 0.11424E-03	 0.96182E-06	 0.10147E-08	 0.25541E-04	 0.41028E-03	 0.66217E-04	 0.66176E-06	 0.10874E-08	 0.34244E-12	 0.15593E-04	 0.24679E-03	 0.41663E-04	 0.45673E-06	 0.91484E-09	 0.46394E-12	 0.56660E-16	 0.10236E-04	 0.16047E-03	 0.27876E-04	 0.32334E-06	 0.72385E-09	 0.45805E-12	 0.92479E-16	 0.51933E-20	 0.93942E+00	 0.40869E-01	 0.61795E-02	 0.20337E-02	 0.92620E-03	 0.50270E-03	 0.30451E-03	 0.19890E-03	 0.49726E-03	 0.99043E+00	 0.90734E-02	 0.10000E+01 
03999	 0.92342E+00	 0.40905E-02	 0.46259E-01	 0.67979E-03	 0.58357E-02	 0.11404E-02	 0.22750E-03	 0.18206E-02	 0.50798E-03	 0.64941E-05	 0.10405E-03	 0.81155E-03	 0.25887E-03	 0.49953E-05	 0.11724E-07	 0.56545E-04	 0.43581E-03	 0.14851E-03	 0.34157E-05	 0.12548E-07	 0.88491E-11	 0.34266E-04	 0.26240E-03	 0.92862E-04	 0.23484E-05	 0.10547E-07	 0.12010E-10	 0.34202E-14	 0.22385E-04	 0.17076E-03	 0.61879E-04	 0.16583E-05	 0.83395E-08	 0.11871E-10	 0.55933E-14	 0.78399E-18	 0.92342E+00	 0.50349E-01	 0.76559E-02	 0.25626E-02	 0.11795E-02	 0.64430E-03	 0.39189E-03	 0.25669E-03	 0.64172E-03	 0.98646E+00	 0.12896E-01	 0.10000E+01 
04249	 0.91745E+00	 0.67611E-02	 0.45408E-01	 0.10265E-02	 0.55855E-02	 0.17571E-02	 0.33193E-03	 0.17761E-02	 0.75543E-03	 0.16258E-04	 0.14938E-03	 0.80275E-03	 0.37866E-03	 0.12351E-04	 0.47077E-07	 0.80464E-04	 0.43483E-03	 0.21530E-03	 0.83863E-05	 0.50182E-07	 0.56930E-10	 0.48500E-04	 0.26328E-03	 0.13390E-03	 0.57411E-05	 0.42072E-07	 0.77186E-10	 0.36142E-13	 0.31574E-04	 0.17197E-03	 0.88915E-04	 0.40427E-05	 0.33210E-07	 0.76232E-10	 0.59068E-13	 0.14190E-16	 0.91745E+00	 0.52169E-01	 0.83691E-02	 0.28798E-02	 0.13432E-02	 0.73904E-03	 0.45146E-03	 0.29653E-03	 0.74133E-03	 0.98370E+00	 0.15560E-01	 0.10000E+01 
04499	 0.91766E+00	 0.78283E-02	 0.43285E-01	 0.11495E-02	 0.53266E-02	 0.19745E-02	 0.36731E-03	 0.17149E-02	 0.83619E-03	 0.21640E-04	 0.16441E-03	 0.78055E-03	 0.41629E-03	 0.16343E-04	 0.73597E-07	 0.88304E-04	 0.42451E-03	 0.23583E-03	 0.11062E-04	 0.78266E-07	 0.10412E-09	 0.53135E-04	 0.25765E-03	 0.14635E-03	 0.75578E-05	 0.65523E-07	 0.14102E-09	 0.77622E-13	 0.34553E-04	 0.16856E-03	 0.97046E-04	 0.53151E-05	 0.51672E-07	 0.13918E-09	 0.12678E-12	 0.36111E-16	 0.91766E+00	 0.51113E-01	 0.84506E-02	 0.29401E-02	 0.13777E-02	 0.75978E-03	 0.46476E-03	 0.30553E-03	 0.76382E-03	 0.98307E+00	 0.16163E-01	 0.10000E+01 
04749	 0.91210E+00	 0.63202E-02	 0.49787E-01	 0.97019E-03	 0.62525E-02	 0.16867E-02	 0.31505E-03	 0.19883E-02	 0.73430E-03	 0.14020E-04	 0.14207E-03	 0.89743E-03	 0.37025E-03	 0.10698E-04	 0.37069E-07	 0.76616E-04	 0.48560E-03	 0.21120E-03	 0.72819E-05	 0.39595E-07	 0.41250E-10	 0.46213E-04	 0.29379E-03	 0.13160E-03	 0.49925E-05	 0.33238E-07	 0.55990E-10	 0.24262E-13	 0.30099E-04	 0.19180E-03	 0.87499E-04	 0.35189E-05	 0.26258E-07	 0.55338E-10	 0.39676E-13	 0.88734E-17	 0.91210E+00	 0.56107E-01	 0.89094E-02	 0.30517E-02	 0.14205E-02	 0.78074E-03	 0.47663E-03	 0.31294E-03	 0.78236E-03	 0.98316E+00	 0.16057E-01	 0.10000E+01 
