tStep	n= 1 l= 0   	n= 2 l= 0   	n= 2 l= 1   	n= 3 l= 0   	n= 3 l= 1   	n= 3 l= 2   	n= 4 l= 0   	n= 4 l= 1   	n= 4 l= 2   	n= 4 l= 3   	n= 5 l= 0   	n= 5 l= 1   	n= 5 l= 2   	n= 5 l= 3   	n= 5 l= 4   	n= 6 l= 0   	n= 6 l= 1   	n= 6 l= 2   	n= 6 l= 3   	n= 6 l= 4   	n= 6 l= 5   	n= 7 l= 0   	n= 7 l= 1   	n= 7 l= 2   	n= 7 l= 3   	n= 7 l= 4   	n= 7 l= 5   	n= 7 l= 6   	n= 8 l= 0   	n= 8 l= 1   	n= 8 l= 2   	n= 8 l= 3   	n= 8 l= 4   	n= 8 l= 5   	n= 8 l= 6   	n= 8 l= 7   	n= 1        	n= 2        	n= 3        	n= 4        	n= 5        	n= 6        	n= 7        	n= 8        	n+          	oInt        	bInt        	tInt 
00000	 0.10000E+01	 0.88976E-19	 0.00000E+00	 0.26363E-19	 0.00000E+00	 0.00000E+00	 0.11122E-19	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.56945E-20	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.32954E-20	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.20753E-20	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.13903E-20	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.10000E+01	 0.88976E-19	 0.26363E-19	 0.11122E-19	 0.56945E-20	 0.32954E-20	 0.20753E-20	 0.13903E-20	 0.34756E-20	 0.10000E+01	-0.16873E-08	 0.10000E+01 
00249	 0.99999E+00	 0.12624E-10	 0.30370E-05	 0.23978E-11	 0.48460E-06	 0.20419E-11	 0.89983E-12	 0.16807E-06	 0.86074E-12	 0.61197E-18	 0.43871E-12	 0.78837E-07	 0.43156E-12	 0.42811E-18	 0.10468E-24	 0.24753E-12	 0.43538E-07	 0.24600E-12	 0.27885E-18	 0.10259E-24	 0.11607E-31	 0.15358E-12	 0.26662E-07	 0.15334E-12	 0.18636E-18	 0.81875E-25	 0.14626E-31	 0.90292E-39	 0.10191E-12	 0.17542E-07	 0.10201E-12	 0.12925E-18	 0.62625E-25	 0.13784E-31	 0.13896E-38	 0.52025E-46	 0.99999E+00	 0.30371E-05	 0.48460E-06	 0.16807E-06	 0.78838E-07	 0.43538E-07	 0.26662E-07	 0.17542E-07	 0.43855E-07	 0.10000E+01	 0.14934E-05	 0.10000E+01 
00499	 0.99994E+00	 0.96764E-09	 0.32692E-04	 0.13252E-09	 0.51364E-05	 0.25265E-09	 0.43909E-10	 0.17706E-05	 0.10635E-09	 0.85243E-15	 0.20190E-10	 0.82813E-06	 0.53281E-10	 0.59618E-15	 0.16339E-20	 0.11034E-10	 0.45660E-06	 0.30359E-10	 0.38827E-15	 0.16013E-20	 0.20280E-26	 0.67149E-11	 0.27933E-06	 0.18920E-10	 0.25947E-15	 0.12778E-20	 0.25554E-26	 0.17650E-32	 0.44004E-11	 0.18367E-06	 0.12584E-10	 0.17995E-15	 0.97737E-21	 0.24082E-26	 0.27163E-32	 0.11374E-38	 0.99994E+00	 0.32693E-04	 0.51367E-05	 0.17708E-05	 0.82820E-06	 0.45664E-06	 0.27936E-06	 0.18368E-06	 0.45921E-06	 0.99999E+00	 0.14279E-04	 0.10000E+01 
00749	 0.99987E+00	 0.62958E-08	 0.77501E-04	 0.86758E-09	 0.11887E-04	 0.15701E-08	 0.28788E-09	 0.40593E-05	 0.65937E-09	 0.13459E-13	 0.13244E-09	 0.18899E-05	 0.32998E-09	 0.94100E-14	 0.65034E-19	 0.72394E-10	 0.10394E-05	 0.18790E-09	 0.61271E-14	 0.63727E-19	 0.20321E-24	 0.44063E-10	 0.63489E-06	 0.11705E-09	 0.40942E-14	 0.50852E-19	 0.25605E-24	 0.44497E-30	 0.28878E-10	 0.41703E-06	 0.77836E-10	 0.28392E-14	 0.38894E-19	 0.24129E-24	 0.68479E-30	 0.72122E-36	 0.99987E+00	 0.77507E-04	 0.11890E-04	 0.40602E-05	 0.18904E-05	 0.10396E-05	 0.63505E-06	 0.41714E-06	 0.10428E-05	 0.99997E+00	 0.28951E-04	 0.10000E+01 
00999	 0.99988E+00	 0.40564E-08	 0.69787E-04	 0.57523E-09	 0.11209E-04	 0.10186E-08	 0.19304E-09	 0.38934E-05	 0.43020E-09	 0.67191E-14	 0.89289E-10	 0.18272E-05	 0.21589E-09	 0.47026E-14	 0.25414E-19	 0.48950E-10	 0.10093E-05	 0.12312E-09	 0.30638E-14	 0.24911E-19	 0.62409E-25	 0.29847E-10	 0.61815E-06	 0.76768E-10	 0.20479E-14	 0.19882E-19	 0.78646E-25	 0.10757E-30	 0.19584E-10	 0.40673E-06	 0.51079E-10	 0.14205E-14	 0.15209E-19	 0.74120E-25	 0.16556E-30	 0.13736E-36	 0.99988E+00	 0.69791E-04	 0.11211E-04	 0.38940E-05	 0.18275E-05	 0.10095E-05	 0.61826E-06	 0.40681E-06	 0.10170E-05	 0.99997E+00	 0.31926E-04	 0.10000E+01 
01249	 0.99971E+00	 0.74726E-08	 0.12729E-03	 0.18464E-08	 0.26270E-04	 0.14896E-08	 0.73152E-09	 0.98118E-05	 0.75321E-09	 0.37546E-14	 0.36382E-09	 0.47513E-05	 0.40916E-09	 0.29847E-14	 0.31343E-20	 0.20726E-09	 0.26680E-05	 0.24335E-09	 0.20808E-14	 0.33723E-20	 0.11070E-26	 0.12928E-09	 0.16500E-05	 0.15558E-09	 0.14482E-14	 0.28453E-20	 0.14973E-26	 0.19336E-33	 0.86078E-10	 0.10924E-05	 0.10519E-09	 0.10310E-14	 0.22559E-20	 0.14769E-26	 0.31453E-33	 0.18600E-40	 0.99971E+00	 0.12730E-03	 0.26273E-04	 0.98133E-05	 0.47521E-05	 0.26684E-05	 0.16502E-05	 0.10926E-05	 0.27316E-05	 0.99989E+00	 0.11106E-03	 0.10000E+01 
01499	 0.99854E+00	 0.41835E-06	 0.77120E-03	 0.89878E-07	 0.14056E-03	 0.80516E-07	 0.34231E-07	 0.50563E-04	 0.38486E-07	 0.16891E-11	 0.16735E-07	 0.24080E-04	 0.20420E-07	 0.12940E-11	 0.99406E-17	 0.94465E-08	 0.13402E-04	 0.11998E-07	 0.88596E-12	 0.10047E-16	 0.79465E-22	 0.58607E-08	 0.82441E-05	 0.76155E-08	 0.61027E-12	 0.81834E-17	 0.97948E-22	 0.93309E-27	 0.38885E-08	 0.54397E-05	 0.51258E-08	 0.43166E-12	 0.63480E-17	 0.90945E-22	 0.14344E-26	 0.56190E-32	 0.99854E+00	 0.77162E-03	 0.14073E-03	 0.50636E-04	 0.24117E-04	 0.13423E-04	 0.82575E-05	 0.54487E-05	 0.13622E-04	 0.99955E+00	 0.43647E-03	 0.10000E+01 
01749	 0.99565E+00	 0.60189E-05	 0.25488E-02	 0.11277E-05	 0.42477E-03	 0.12481E-05	 0.41243E-06	 0.14817E-03	 0.57005E-06	 0.14956E-09	 0.19807E-06	 0.69564E-04	 0.29644E-06	 0.10974E-09	 0.85015E-14	 0.11076E-06	 0.38418E-04	 0.17233E-06	 0.73434E-10	 0.83330E-14	 0.53320E-18	 0.68330E-07	 0.23523E-04	 0.10869E-06	 0.49901E-10	 0.66534E-14	 0.66770E-18	 0.26304E-22	 0.45172E-07	 0.15475E-04	 0.72858E-07	 0.34989E-10	 0.50916E-14	 0.62659E-18	 0.40506E-22	 0.83525E-27	 0.99565E+00	 0.25548E-02	 0.42715E-03	 0.14915E-03	 0.70059E-04	 0.38701E-04	 0.23700E-04	 0.15593E-04	 0.38982E-04	 0.99893E+00	 0.10270E-02	 0.10000E+01 
01999	 0.99176E+00	 0.32990E-04	 0.51574E-02	 0.57399E-05	 0.80501E-03	 0.69058E-05	 0.20456E-05	 0.27378E-03	 0.30915E-05	 0.23928E-08	 0.97068E-06	 0.12699E-03	 0.15923E-05	 0.17425E-08	 0.38974E-12	 0.53927E-06	 0.69668E-04	 0.92071E-06	 0.11609E-08	 0.38256E-12	 0.62760E-16	 0.33139E-06	 0.42484E-04	 0.57885E-06	 0.78676E-09	 0.30569E-12	 0.78696E-16	 0.79770E-20	 0.21852E-06	 0.27874E-04	 0.38720E-06	 0.55067E-09	 0.23404E-12	 0.73916E-16	 0.12289E-19	 0.66230E-24	 0.99176E+00	 0.51904E-02	 0.81765E-03	 0.27892E-03	 0.12956E-03	 0.71129E-04	 0.43395E-04	 0.28480E-04	 0.71200E-04	 0.99832E+00	 0.16045E-02	 0.10000E+01 
02249	 0.98890E+00	 0.87526E-04	 0.72696E-02	 0.14621E-04	 0.10718E-02	 0.18080E-04	 0.51276E-05	 0.35608E-03	 0.80062E-05	 0.11555E-07	 0.24146E-05	 0.16330E-03	 0.41005E-05	 0.84198E-08	 0.32093E-11	 0.13358E-05	 0.89017E-04	 0.23635E-05	 0.56103E-08	 0.31610E-11	 0.84766E-15	 0.81875E-06	 0.54073E-04	 0.14830E-05	 0.38021E-08	 0.25312E-11	 0.10629E-14	 0.18655E-18	 0.53898E-06	 0.35388E-04	 0.99072E-06	 0.26611E-08	 0.19407E-11	 0.99825E-15	 0.28749E-18	 0.26566E-22	 0.98890E+00	 0.73571E-02	 0.11045E-02	 0.36923E-03	 0.16982E-03	 0.92722E-04	 0.56379E-04	 0.36920E-04	 0.92300E-04	 0.99808E+00	 0.18245E-02	 0.10000E+01 
